Project Number,Status,Operation Number,Reporting Currency,Product Code,Fund Code,Department Code,Division Code,Modality Code,Sector,Lending Type Code,TL PCM,Team Leader,Region,Country Code,Operation Status Sorting,Operation Status Code,External Operation,Effective Date,Ratification Date,Signature Date,Closed For Operation Date,First Eligibility Date,Final Amortization Date,Current Disbursement Expiration Date,Original Disbursement Expiration Date,Total Eligibility Date,First Disbursement Date,Totally Disbursement Date,Current Year Disb Projection,Next Year Disb Projection,Available Amount,Current Approved Amount,Disbursed Life Amount,Cancelled Amount,Undisbursed Amount,Committed Amount,Disbursed YTD,Original Approved Amount,Projected Available Amount,Title (English),Lending Instrument ID,Relation Number,Approval Date,Approval Year,Stage,Title (Spanish),PMR Classification,PMR Classification (Spanish),Executor Name,Executor Name (Spanish),Cumulative Extension (Months),Product (English),Product (Spanish),Fund (English),Fund (Spanish),Division (English),Division (Spanish),Modality (English),Modality (Spanish),Sector (English),Lending Type (English),Lending Type (Spanish),Country (English),Country (Spanish),Operation Status (English),Operation Status (Spanish),Sector (Spanish),Lending Instrument Code,Lending Instrument (English),Lending Instrument (Spanish),Department,UDR Code,UDR Full Name,UDR Full Name (Spanish)
BR-L1525,ACTIVE,4930/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-DES,SG,CGONCALVES,"GONCALVES, CARLOS EDUARDO",CSC,BR,5,DI,Valid,12/30/2023 0:00,,12/30/2023 0:00,,7/3/2024 8:34,11/15/2048 0:00,12/30/2028 0:00,12/30/2028 0:00,7/3/2024 8:34,11/12/2024 0:00,,5000000,10655000,22655432.57,30000000,7344567.43,0,22655432.57,0,0,30000000,22655432.57,Fiscal Management Modernization Project for the State of Amapá – PROFISCO II – AP,LON-INV,BR-L1525,12/6/2019 0:00,2019,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Amapá ― PROFISCO II - AP,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DA FAZENDA DEL ESTADO DE AMAPA ,SECRETARIA DE ESTADO DA FAZENDA DEL ESTADO DE AMAPA ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-DES - REFORM / MODERNIZATION OF THE STATE-DECENTRALIZATION & INTERGOVERNMENTAL RELATIONS,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-DES - REFORMA/MODERNIZACIÓN DEL ESTADO-DESCENTRALIZACIÓN Y RELACIONES INTERGUBERNAMENTALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1527,ACTIVE,4951/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,5,DI,Valid,9/30/2020 0:00,,9/30/2020 0:00,,1/25/2021 20:06,5/15/2045 0:00,9/30/2027 0:00,9/30/2025 0:00,1/25/2021 20:06,1/29/2021 0:00,,5000000,4820000,9820448.19,50000000,40179551.81,0,9820448.19,0,0,50000000,9820448.19,Fiscal Management Modernization Project of the State of Paraná - PROFISCO II PR,LON-INV,BR-L1527,12/16/2019 0:00,2019,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraná - PROFISCO II PR,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DA FAZENDA,SECRETARIA DE ESTADO DA FAZENDA,24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1533,ACTIVE,4970/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,RMOTTACAFE,"MOTTA CAFE, RENATA",CSC,BR,5,DI,Valid,4/19/2022 0:00,,4/19/2022 0:00,,6/14/2022 10:20,2/15/2047 0:00,4/19/2027 0:00,4/19/2027 0:00,6/14/2022 10:20,10/14/2022 0:00,,9500000,5000000,13000000,40000000,27000000,0,13000000,0,5300000,40000000,13000000,Fiscal Management Modernization Project for the State of Bahia – PROFISCO II – BA,LON-INV,BR-L1533,1/15/2020 0:00,2020,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Bahia ― PROFISCO II - BA,Satisfactory,Satisfactorio,SECRETARIA DE FAZENDA DE BAHIA,SECRETARIA DE FAZENDA DE BAHIA,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1534,ACTIVE,4961/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,7,CO,Valid,12/7/2020 0:00,,12/7/2020 0:00,2/23/2026 10:09,5/6/2021 13:38,10/15/2045 0:00,12/7/2025 0:00,12/7/2025 0:00,5/6/2021 13:38,5/13/2021 0:00,10/15/2025 0:00,0,0,0,60000000,60000000,0,0,0,0,60000000,0,Fiscal Management Modernization Project for the State of Rio Grande do Sul – PROFISCO II – RS,LON-INV,BR-L1534,12/18/2019 0:00,2019,COAFR,Proyecto de Mejora y Fortalecimiento de la Gestión Fiscal del Estado de Rio Grande do Sul - PROFISCO II-RS,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DA FAZENDA DO RIO GRANDE DO SUL ,SECRETARIA DE ESTADO DA FAZENDA DO RIO GRANDE DO SUL ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,CO - CLOSED BY OPERATIONS--NO MORE DISBURSEMENT PROCESSING WILL BE DONE.,CO - CERRADO POR OPERACIONES--NO SE REALIZARÁ MÁS DESEMBOLSO,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1535,ACTIVE,5188/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,ANDREMA,"MARTINEZ FRITSCHER, ANDRE CARLOS",CSC,BR,5,DI,Valid,12/13/2021 0:00,,12/13/2021 0:00,,4/25/2022 10:30,11/15/2046 0:00,12/13/2026 0:00,12/13/2026 0:00,4/25/2022 10:30,12/6/2022 0:00,,8000000,8645000,16644927.57,38412000,21767072.43,0,16644927.57,0,0,38412000,8644927.57,Fiscal Management Modernization Project for the State of Paraíba - PROFISCO II PB,LON-INV,BR-L1535,12/9/2020 0:00,2020,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraíba - PROFISCO II PB,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DA RECEITA DA PARAIBA ,SECRETARIA DE ESTADO DA RECEITA DA PARAIBA ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1539,ACTIVE,5393/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,ANASTASIYAY,"YARYGINA UDOVENKO, ANASTASIYA",CSC,BR,5,DI,Valid,5/26/2023 0:00,,5/26/2023 0:00,,11/9/2023 7:04,12/15/2047 0:00,5/26/2028 0:00,5/26/2028 0:00,11/9/2023 7:04,5/24/2024 0:00,,5000000,31269000,43116304.61,56279900,13163595.39,0,43116304.61,0,0,56279900,42116304.61,Fiscal Management Modernization Project for the State of Mato Grosso - PROFISCO II - MT,LON-INV,BR-L1539,11/3/2021 0:00,2021,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Mato Grosso - PROFISCO II-MT,Satisfactory,Satisfactorio,ESTADO DE MATO GROSSO SECRETARIA DE ESTADO DA FAZENDA DO EST ,ESTADO DE MATO GROSSO SECRETARIA DE ESTADO DA FAZENDA DO EST ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1540,ACTIVE,5344/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,CGONCALVES,"GONCALVES, CARLOS EDUARDO",CSC,BR,5,DI,Valid,8/29/2023 0:00,,8/29/2023 0:00,,11/30/2023 16:07,7/15/2048 0:00,8/29/2028 0:00,8/29/2028 0:00,11/30/2023 16:07,12/7/2023 0:00,,3687000,12504720,23866505.81,36000000,12133494.19,0,23866505.81,0,165085.3,36000000,23866505.81,Fiscal Management Modernization Project for the State of Alagoas - PROFISCO II AL,LON-INV,BR-L1540,9/15/2021 0:00,2021,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Alagoas – PROFISCO II AL,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DA FAZENDA DE ALAGOAS ,SECRETARIA DE ESTADO DA FAZENDA DE ALAGOAS ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1550,ACTIVE,5411/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,RMOTTACAFE,"MOTTA CAFE, RENATA",CSC,BR,5,DI,Valid,11/29/2022 0:00,,11/29/2022 0:00,,5/25/2023 11:11,10/15/2047 0:00,11/29/2027 0:00,11/29/2027 0:00,5/25/2023 11:11,8/2/2023 0:00,,3000000,4478000,7478168.35,27900000,20421831.65,0,7478168.35,0,4026598.39,27900000,7478168.35,Fiscal Management Modernization Project for the State of Sergipe – PROFISCO II/SE,LON-INV,BR-L1550,11/19/2021 0:00,2021,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Sergipe – PROFISCO II/SE,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DE FAZENDA,SECRETARIA DE ESTADO DE FAZENDA,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1592,ACTIVE,5684/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-DES,SG,ANDREMA,"MARTINEZ FRITSCHER, ANDRE CARLOS",CSC,BR,5,DI,Valid,12/30/2024 0:00,,12/30/2024 0:00,,5/23/2025 9:35,4/15/2049 0:00,12/30/2029 0:00,12/30/2029 0:00,5/23/2025 9:35,7/14/2025 0:00,,5500000,10416200,57274232.63,72700000,15425767.37,0,57274232.63,0,4500000,72700000,57274232.63,Financial Development Program of the Federal District (PRODEFAZ/PROFISCO II),LON-INV,BR-L1592,11/30/2022 0:00,2022,DI,Programa de Desarrollo Hacendario del Distrito Federal (PRODEFAZ/PROFISCO II),Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL ,SECRETARIA DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-DES - REFORM / MODERNIZATION OF THE STATE-DECENTRALIZATION & INTERGOVERNMENTAL RELATIONS,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-DES - REFORMA/MODERNIZACIÓN DEL ESTADO-DESCENTRALIZACIÓN Y RELACIONES INTERGUBERNAMENTALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1599,ACTIVE,5792/OC-BR,USD,LON,ORC,IFD,IFD/FMM,LBR,RM-FIN,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,5,DI,Valid,12/29/2023 0:00,,12/29/2023 0:00,,6/4/2024 16:02,7/15/2048 0:00,12/29/2026 0:00,12/29/2026 0:00,6/4/2024 16:02,6/7/2024 0:00,,51079000,0,51079330.95,500000000,448920669.1,0,51079330.95,0,0,500000000,51079330.95,Fiscal Sustainability Support Program for the Estado do Rio Grande do Sul Pro-Sustainability RS,LON-INV,BR-L1599,9/27/2023 0:00,2023,DI,Programa de Apoyo a la Sostenibilidad Fiscal del Estado do Rio Grande do Sul Pro-Sostenibilidad RS,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DA FAZENDA DO RIO GRANDE DO SUL ,SECRETARIA DE ESTADO DA FAZENDA DO RIO GRANDE DO SUL ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,LBR - LBR (Loan Based on Results),LBR - LBR (Préstamo basado en resultados),RM-FIN - REFORM / MODERNIZATION OF THE STATE-PUBLIC EXPENDITURE MANAGEMENT,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIN - REFORMA/MODERNIZACIÓN DEL ESTADO-GESTIÓN DEL GASTO PÚBLICO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1614,ACTIVE,5868/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-DES,SG,CGONCALVES,"GONCALVES, CARLOS EDUARDO",CSC,BR,4,EL,Valid,5/13/2025 0:00,,5/13/2025 0:00,,3/26/2026 10:12,9/15/2049 0:00,5/13/2030 0:00,5/13/2030 0:00,3/26/2026 10:12,,,0,0,42500000,42500000,0,0,42500000,0,0,42500000,42500000,Fiscal Management Modernization Project for the State of Tocantins - PROFISCO II TO,LON-INV,BR-L1614,4/5/2024 0:00,2024,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Tocantins - PROFISCO II TO,Problem,Problema,GOVERNO DO ESTADO DO TOCANTINS,GOVERNO DO ESTADO DO TOCANTINS,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-DES - REFORM / MODERNIZATION OF THE STATE-DECENTRALIZATION & INTERGOVERNMENTAL RELATIONS,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,EL - ELIGIBLE FOR DISBURSEMENT--AT LEAST ONE COI IS ELIGIBLE.,EL - ELEGIBLE PARA EL DESEMBOLSO: AL MENOS UNA COI ES ELEGIBLE.,RM-DES - REFORMA/MODERNIZACIÓN DEL ESTADO-DESCENTRALIZACIÓN Y RELACIONES INTERGUBERNAMENTALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1629,ACTIVE,6016/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-SUB,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,2,AF,Valid,,,,,,6/25/2045 0:00,,,,,,0,0,30000000,30000000,0,0,30000000,0,0,30000000,30000000,Fiscal Management Modernization Program of the State of Amazonas - PROFISCO III AM,LON-INV,BR-L1629,6/25/2025 0:00,2025,APPLA,Programa de Modernización de la Gestión Fiscal del Estado de Amazonas - PROFISCO III AM,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DA FAZENDA DA AMAZONAS ,SECRETARIA DE ESTADO DA FAZENDA DA AMAZONAS ,,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-SUB - REFORM / MODERNIZATION OF THE STATE-SUBNATIONAL AND LOCAL GOVERNMENTS,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,AF - APPROVED BY THE BOARD AND FUNDED BY FINANCE,AF - APROBADO POR DIRECTORIO Y FINANCIADO POR FINANZAS,RM-SUB - REFORMA/MODERNIZACIÓN DEL ESTADO-GOBIERNOS SUBNACIONALES Y LOCALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1643,ACTIVE,6035/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-SUB,SG,RMOTTACAFE,"MOTTA CAFE, RENATA",CSC,BR,5,DI,Valid,12/30/2025 0:00,,12/30/2025 0:00,,2/4/2026 15:56,1/15/2050 0:00,12/30/2030 0:00,12/30/2030 0:00,2/4/2026 15:56,2/24/2026 0:00,,10050050,13356000,61355949.53,80000000,18644050.47,0,61355949.53,0,18644050.47,80000000,61355949.53,Program for the Modernization of Fiscal Management of the State of Ceará - PROFISCO III CE,LON-INV,BR-L1643,8/29/2025 0:00,2025,DI,Programa de Modernización de la Gestión Fiscal del Estado de Ceará - PROFISCO III CE,Satisfactory,Satisfactorio,SECRETARIA DA FAZENDA DO ESTADO DO CEARA,SECRETARIA DA FAZENDA DO ESTADO DO CEARA,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-SUB - REFORM / MODERNIZATION OF THE STATE-SUBNATIONAL AND LOCAL GOVERNMENTS,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-SUB - REFORMA/MODERNIZACIÓN DEL ESTADO-GOBIERNOS SUBNACIONALES Y LOCALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1658,ACTIVE,6120/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-REA,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,2,AF,Valid,,,,,,12/10/2045 0:00,,,,,,0,0,278000000,278000000,0,0,278000000,0,0,278000000,278000000,Fiscal Management Modernization Program of the Ministry of Finance - PROFISCO III MF,LON-INV,BR-L1658,12/10/2025 0:00,2025,APPLA,Programa de Modernización de la Gestión Fiscal del Ministerio de Hacienda - PROFISCO III MF,Satisfactory,Satisfactorio,MINISTERIO DA FAZENDA,MINISTERIO DA FAZENDA,,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-REA - REFORM / MODERNIZATION OF THE STATE-REVENUE ADMINISTRATION,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,AF - APPROVED BY THE BOARD AND FUNDED BY FINANCE,AF - APROBADO POR DIRECTORIO Y FINANCIADO POR FINANZAS,RM-REA - REFORMA/MODERNIZACIÓN DEL ESTADO-ADMINISTRACIÓN DE INGRESOS,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
CH-L1178,ACTIVE,5864/OC-CH,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIN,SG,LESLIEHA,"HARPER, LESLIE ELIZABETH",CSC,CH,5,DI,Valid,1/3/2025 0:00,1/3/2025 0:00,9/11/2024 0:00,,3/20/2025 6:48,6/15/2049 0:00,1/3/2029 0:00,1/3/2029 0:00,3/20/2025 6:48,4/14/2025 0:00,,3253000,6398000,14678278.73,20000000,5321721.27,0,14678278.73,0,0,20000000,14678278.73,Program to Improve the Quality of Expenditure in Public Procurement,LON-INV,CH-L1178,3/19/2024 0:00,2024,DI,Programa de Mejora de la Calidad del Gasto en las Compras Públicas,Satisfactory,Satisfactorio,DIRECCION DE COMPRAS Y CONTRATACION PUBLICA ,DIRECCION DE COMPRAS Y CONTRATACION PUBLICA ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIN - REFORM / MODERNIZATION OF THE STATE-PUBLIC EXPENDITURE MANAGEMENT,SG - Sovereign Guaranteed,SG - SG,CH - Chile,CH - Chile,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIN - REFORMA/MODERNIZACIÓN DEL ESTADO-GESTIÓN DEL GASTO PÚBLICO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CCH,CSC/CCH - Country Office Chile,CSC/CCH - Representación Chile
