Year,Month,Projection Cycle,Project Number,Project (English),Project (Spanish),Operation Number,Region,IDB Country,Country,Country (English),Country (Spanish),Department,Responsible Unit,Responsible Unit Name,Project Type,Project Type (English),Project Type (Spanish),Fund,Fund (English),Fund (Spanish),Lending Type,Lending Type (English),Lending Type (Spanish),Lending Instrument,Lending Instrument (English),Lending Instrument (Spanish),Modality,Modality (English),Modality (Spanish),Project Phase,Project Phase (English),Project Phase (Spanish),Project Stage,Project Stage (English),Project Stage (Spanish),Parent Operation Number,Project Category,Attribute Filter Value,Approval Year,Transaction Year,Transaction Month,Transaction Date,Recent Disbursement Request Value Date,IS Parent Child Operation,IS SubLoan Exist,IS FIN Processing,IS Agreed Projection,IS Projection,Projection Amount (USEQ),Baseline Projection Amount (USEQ),Disbursed Amount (USEQ),Available Amount (USEQ),Available Amount (Apprvd),Minimum Pending Justification Amount,DW Update Timestamp,udr_cd
2026,6,202606,CH-L1160,Program to Support Social Equity and Fiscal Sustainability II,Programa de Apoyo a la Equidad Social y Sostenibilidad Fiscal II,5302/OC-CH,CSC,CH,CL,Chile,Chile,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,PBL,Policy-Based Loan,Préstamo de Apoyo a Reformas de Política,PBP,PBP (Programmatic Policy Base Loan),PBP (Programático),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2021,2022,11,11/30/2022 0:00,11/23/2021 0:00,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CSC/CCH
2026,6,202606,CH-L1160,Program to Support Social Equity and Fiscal Sustainability II,Programa de Apoyo a la Equidad Social y Sostenibilidad Fiscal II,5302/OC-CH,CSC,CH,CL,Chile,Chile,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,PBL,Policy-Based Loan,Préstamo de Apoyo a Reformas de Política,PBP,PBP (Programmatic Policy Base Loan),PBP (Programático),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2021,2022,12,12/31/2022 0:00,11/23/2021 0:00,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CSC/CCH
2026,6,202606,CH-L1160,Program to Support Social Equity and Fiscal Sustainability II,Programa de Apoyo a la Equidad Social y Sostenibilidad Fiscal II,5302/OC-CH,CSC,CH,CL,Chile,Chile,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,PBL,Policy-Based Loan,Préstamo de Apoyo a Reformas de Política,PBP,PBP (Programmatic Policy Base Loan),PBP (Programático),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2021,2025,7,7/31/2025 0:00,11/23/2021 0:00,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CSC/CCH
2026,6,202606,CH-L1160,Program to Support Social Equity and Fiscal Sustainability II,Programa de Apoyo a la Equidad Social y Sostenibilidad Fiscal II,5302/OC-CH,CSC,CH,CL,Chile,Chile,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,PBL,Policy-Based Loan,Préstamo de Apoyo a Reformas de Política,PBP,PBP (Programmatic Policy Base Loan),PBP (Programático),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2021,2025,11,11/30/2025 0:00,11/23/2021 0:00,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CSC/CCH
2026,6,202606,CR-L1148,Emergency Program for Fiscal Strengthening and Restoring Growth,Programa de Emergencia para el Fortalecimiento Fiscal y Restaurar el Crecimiento,5264/OC-CR,CID,CR,CR,Costa Rica,Costa Rica,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,SDL,Special Development Lending,Financiamiento Especial para el Desarrollo,SDS,SDL_S (Single Tranche SDL),SDL_S (Single Tranche SDL),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2021,2022,11,11/30/2022 0:00,12/23/2021 0:00,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CID/CCR
2026,6,202606,BR-L1234,PROFISCO-Mato Grosso-Finance Administration Development Program,PROFISCO-Mato Grosso-Desarrollo de la Adm. Hacienda del Estado de Mato Grosso,2324/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2010,2019,4,4/30/2019 0:00,1/27/2021 14:12,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CSC/CBR
2026,6,202606,BR-L1614,Fiscal Management Modernization Project for the State of Tocantins - PROFISCO II TO,Proyecto de Modernización de la Gestión Fiscal del Estado de Tocantins - PROFISCO II TO,5868/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2024,2026,4,4/30/2026 0:00,5/20/2026 0:00,Parent Operation,N,Y,N,Y,0,0,0,38164200,38164200,3468640,6/16/2026,CSC/CBR
2026,6,202606,BR-L1614,Fiscal Management Modernization Project for the State of Tocantins - PROFISCO II TO,Proyecto de Modernización de la Gestión Fiscal del Estado de Tocantins - PROFISCO II TO,5868/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2024,2028,2,2/29/2028 0:00,5/20/2026 0:00,Parent Operation,N,Y,N,Y,0,0,0,38164200,38164200,3468640,6/16/2026,CSC/CBR
2026,6,202606,AR-L1412,Fiscal Policy Strengthening Program II,Programa de Fortalecimiento de la Política Fiscal II,6025/OC-AR,CSC,AR,AR,Argentina,Argentina,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,PBL,Policy-Based Loan,Préstamo de Apoyo a Reformas de Política,PBP,PBP (Programmatic Policy Base Loan),PBP (Programático),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2025,2028,5,5/31/2028 0:00,7/28/2025 0:00,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CSC/CAR
2026,6,202606,AR-L1412,Fiscal Policy Strengthening Program II,Programa de Fortalecimiento de la Política Fiscal II,6025/OC-AR,CSC,AR,AR,Argentina,Argentina,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,PBL,Policy-Based Loan,Préstamo de Apoyo a Reformas de Política,PBP,PBP (Programmatic Policy Base Loan),PBP (Programático),EXEC_PH,Execution,Execution,CO,Closed,Cerrado,,A,,2025,2028,12,12/31/2028 0:00,7/28/2025 0:00,Parent Operation,N,Y,N,Y,0,0,0,0,0,,6/16/2026,CSC/CAR
