yr,mth,projection_cycle,project_number,project_engl_nm,project_spanish_nm,operation_number,country_cd,country_engl_nm,country_spanish_nm,region,project_type_cd,project_type_engl_nm,project_type_spanish_nm,responsible_unit,responsible_unit_nm,department_cd,vp_org_unit_cd,pipe_year,sector_cd,sector_engl_nm,sector_spanish_nm,lending_type_cd,lending_type_engl_nm,lending_type_spanish_nm,lending_instrument_cd,lending_instrument_engl_nm,lending_instrument_spanish_nm,modality_cd,modality_engl_nm,modality_spanish_nm,taxonomy_cd,taxonomy_engl_nm,taxonomy_spanish_nm,financial_instrument_cd,financial_instrument_engl_nm,project_status_cd,project_status_engl_nm,project_status_spanish_nm,project_execution_status,project_execution_status_engl_nm,project_execution_status_spanish_nm,project_phase_cd,project_phase_engl_nm,project_phase_spanish_nm,project_stage_cd,project_stage_engl_nm,project_stage_spanish_nm,approval_year,transaction_year,transaction_month,transaction_date,approved_crncy_cd,approved_crncy_engl_nm,approved_crncy_spanish_nm,reporting_crncy_cd,reporting_crncy_engl_nm,reporting_crncy_spanish_nm,fund_cd,fund_engl_nm,fund_spanish_nm,projection_amnt_apprvd_crncy,projection_amnt_rpt_crncy,projection_amnt_useq,baseline_projection_amnt_apprvd_crncy,baseline_projection_amnt_rpt_crncy,baseline_projection_amnt_useq,disbursed_amnt_apprvd_crncy,disbursed_amnt_rpt_crncy,disbursed_amnt_useq,disbursed_ytd_amnt_apprvd_crncy,disbursed_ytd_amnt_rpt_crncy,disbursed_ytd_amnt_useq,is_projection,is_agreed_projection,convrgnc_disb_proj_id,dw_crte_ts,dw_updt_ts,udr_cd,idb_country_cd,parnt_operation_number,fin_processing,sub_loans_exist
2022,2,202202,PN-L1161,Program to Support the Digital Transformation of the Tax Administration in Panama.,Programa de Apoyo a la Transformacion Digital de la Administración Tributaria en Panamá,5126/OC-PN,PA,Panama,Panamá,CID,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2020,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2020,2022,12,12/31/2022 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,45510,9/10/2022 9:44,9/10/2022 9:44,CID/CPN,PN,,Y,N
2024,2,202402,BR-L1501,Fiscal Management Enhancement Project for the State of Pernambuco – PROFISCO II-PE,Proyecto de Mejora de la Gestión Fiscal del Estado de Pernambuco – PROFISCO II-PE,4554/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2018,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2018,2024,7,7/31/2024 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,2000000,2000000,2000000,0,0,0,0,0,0,Y,Y,43896,3/1/2024 10:05,3/1/2024 10:05,CSC/CBR,BR,,Y,N
2022,2,202202,BR-L1540,Fiscal Management Modernization Project for the State of Alagoas - PROFISCO II AL,Proyecto de Modernización de la Gestión Fiscal del Estado de Alagoas – PROFISCO II AL,5344/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2021,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,APPLA,Approved/Pending prior Legislative Approval,Aprobado/Pendiente Aprobación Legislativa Previa,2021,2022,8,8/31/2022 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,48704,9/10/2022 9:44,9/10/2022 9:44,CSC/CBR,BR,,Y,N
2021,3,202103,BR-L1501,Fiscal Management Enhancement Project for the State of Pernambuco – PROFISCO II-PE,Proyecto de Mejora de la Gestión Fiscal del Estado de Pernambuco – PROFISCO II-PE,4554/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2018,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2018,2022,2,2/28/2022 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,22409,3/15/2021 18:17,3/15/2021 18:17,CSC/CBR,BR,,,
2021,3,202103,BR-L1501,Fiscal Management Enhancement Project for the State of Pernambuco – PROFISCO II-PE,Proyecto de Mejora de la Gestión Fiscal del Estado de Pernambuco – PROFISCO II-PE,4554/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2018,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2018,2024,1,1/31/2024 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,43890,3/15/2021 18:17,3/15/2021 18:17,CSC/CBR,BR,,,
2021,3,202103,BR-L1527,Fiscal Management Modernization Project of the State of Paraná - PROFISCO II PR,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraná - PROFISCO II PR,4951/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2019,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2019,2024,8,8/31/2024 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,57759,3/15/2021 18:17,3/15/2021 18:17,CSC/CBR,BR,,,
2022,2,202202,PE-L1239,Improving Tax and Customs Revenue Collection Services Through Digital Transformation,Mejoramiento de los Servicios de Recaudación Tributaria y Aduanera a través de la Transformación Digital,4725/OC-PE,PE,Peru,Perú,CAN,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2018,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2018,2022,9,9/30/2022 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,35965,9/10/2022 9:44,9/10/2022 9:44,CAN/CPE,PE,,Y,N
2024,2,202402,BR-L1527,Fiscal Management Modernization Project of the State of Paraná - PROFISCO II PR,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraná - PROFISCO II PR,4951/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2019,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2019,2025,2,2/28/2025 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,65783,3/1/2024 10:05,3/1/2024 10:05,CSC/CBR,BR,,Y,N
2019,2,201902,PE-L1239,Improving Tax and Customs Revenue Collection Services Through Digital Transformation,Mejoramiento de los Servicios de Recaudación Tributaria y Aduanera a través de la Transformación Digital,4725/OC-PE,PE,Peru,Perú,CAN,LON,Loan,Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2018,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP,N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,APPS,Approved/Pending Signature,Aprobado/Pendiente de Firma,2018,2019,12,12/31/2019 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,35932,7/10/2019 20:51,7/10/2019 20:51,CPE,PE,,,
2021,3,202103,PE-L1239,Improving Tax and Customs Revenue Collection Services Through Digital Transformation,Mejoramiento de los Servicios de Recaudación Tributaria y Aduanera a través de la Transformación Digital,4725/OC-PE,PE,Peru,Perú,CAN,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2018,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2018,2024,3,3/31/2024 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,36421,3/15/2021 18:17,3/15/2021 18:17,CAN/CPE,PE,,,
